GIP_GXP,TRADING_DATE,TRADING_PERIOD,PRICE
OTA2201,1/01/07,1,22.27
OTA2201,1/01/07,2,22.27
OTA2201,1/01/07,3,24.46
OTA2201,1/01/07,4,18.85
OTA2201,1/01/07,5,12.16
OTA2201,1/01/07,6,12.12
OTA2201,1/01/07,7,11.89
OTA2201,1/01/07,8,19.48
OTA2201,1/01/07,9,19.4
OTA2201,1/01/07,10,20.47
OTA2201,1/01/07,11,24.15
OTA2201,1/01/07,12,24.15
OTA2201,1/01/07,13,23.43
OTA2201,1/01/07,14,18.25
OTA2201,1/01/07,15,17.38
OTA2201,1/01/07,16,11.67
OTA2201,1/01/07,17,11.67
OTA2201,1/01/07,18,11.71
OTA2201,1/01/07,19,12.4
OTA2201,1/01/07,20,12.65
OTA2201,1/01/07,21,13.46
OTA2201,1/01/07,22,19.28
OTA2201,1/01/07,23,19.28
OTA2201,1/01/07,24,15.73
OTA2201,1/01/07,25,20.3
OTA2201,1/01/07,26,22.76
OTA2201,1/01/07,27,22.87
OTA2201,1/01/07,28,22.4
OTA2201,1/01/07,29,14.04
OTA2201,1/01/07,30,13.03
OTA2201,1/01/07,31,13.25
OTA2201,1/01/07,32,13.55
OTA2201,1/01/07,33,13.12
OTA2201,1/01/07,34,12.57
OTA2201,1/01/07,35,12.66
OTA2201,1/01/07,36,12.84
OTA2201,1/01/07,37,12.28
OTA2201,1/01/07,38,12.34
OTA2201,1/01/07,39,12.67
OTA2201,1/01/07,40,12.51
OTA2201,1/01/07,41,12.35
OTA2201,1/01/07,42,12.49
OTA2201,1/01/07,43,18.32
OTA2201,1/01/07,44,18.86
OTA2201,1/01/07,45,18.43
OTA2201,1/01/07,46,12.5
OTA2201,1/01/07,47,12.46
OTA2201,1/01/07,48,11.71
OTA2201,2/01/07,1,14.31
OTA2201,2/01/07,2,11.78
OTA2201,2/01/07,3,11.74
OTA2201,2/01/07,4,11.71
OTA2201,2/01/07,5,11.48
OTA2201,2/01/07,6,11.46
OTA2201,2/01/07,7,11.42
OTA2201,2/01/07,8,11.42
OTA2201,2/01/07,9,11.46
OTA2201,2/01/07,10,11.26
OTA2201,2/01/07,11,11.45
OTA2201,2/01/07,12,11.49
OTA2201,2/01/07,13,11.73
OTA2201,2/01/07,14,12
OTA2201,2/01/07,15,20.16
OTA2201,2/01/07,16,16.37
OTA2201,2/01/07,17,19.24
OTA2201,2/01/07,18,20.26
OTA2201,2/01/07,19,20.77
OTA2201,2/01/07,20,21.22
OTA2201,2/01/07,21,30.44
OTA2201,2/01/07,22,30.45
OTA2201,2/01/07,23,30.44
OTA2201,2/01/07,24,27.26
OTA2201,2/01/07,25,23.94
OTA2201,2/01/07,26,21.85
OTA2201,2/01/07,27,20.27
OTA2201,2/01/07,28,13.52
OTA2201,2/01/07,29,13.9
OTA2201,2/01/07,30,13.92
OTA2201,2/01/07,31,13.96
OTA2201,2/01/07,32,14.21
OTA2201,2/01/07,33,21.7
OTA2201,2/01/07,34,28.01
OTA2201,2/01/07,35,28.96
OTA2201,2/01/07,36,30.55
OTA2201,2/01/07,37,30.53
OTA2201,2/01/07,38,30.53
OTA2201,2/01/07,39,14.76
OTA2201,2/01/07,40,14.27
OTA2201,2/01/07,41,13.85
OTA2201,2/01/07,42,14.41
OTA2201,2/01/07,43,29.67
OTA2201,2/01/07,44,29.75
OTA2201,2/01/07,45,29.47
OTA2201,2/01/07,46,27.57
OTA2201,2/01/07,47,28.06
OTA2201,2/01/07,48,25.59
OTA2201,3/01/07,1,19.37
OTA2201,3/01/07,2,18.69
OTA2201,3/01/07,3,18.9
OTA2201,3/01/07,4,20.25
OTA2201,3/01/07,5,12.21
OTA2201,3/01/07,6,11.73
OTA2201,3/01/07,7,11.71
OTA2201,3/01/07,8,12.24
OTA2201,3/01/07,9,12.62
OTA2201,3/01/07,10,12.27
OTA2201,3/01/07,11,14.94
OTA2201,3/01/07,12,15.37
OTA2201,3/01/07,13,20.25
OTA2201,3/01/07,14,15.68
OTA2201,3/01/07,15,14.23
OTA2201,3/01/07,16,20.22
OTA2201,3/01/07,17,20.29
OTA2201,3/01/07,18,26.08
OTA2201,3/01/07,19,27.37
OTA2201,3/01/07,20,28.08
OTA2201,3/01/07,21,27.49
OTA2201,3/01/07,22,25.69
OTA2201,3/01/07,23,26.64
OTA2201,3/01/07,24,26.7
OTA2201,3/01/07,25,25.73
OTA2201,3/01/07,26,25.52
OTA2201,3/01/07,27,25.52
OTA2201,3/01/07,28,25.35
OTA2201,3/01/07,29,25.45
OTA2201,3/01/07,30,25.19
OTA2201,3/01/07,31,24.38
OTA2201,3/01/07,32,25.42
OTA2201,3/01/07,33,26.86
OTA2201,3/01/07,34,25.42
OTA2201,3/01/07,35,25.4
OTA2201,3/01/07,36,25.46
OTA2201,3/01/07,37,25.33
OTA2201,3/01/07,38,22.21
OTA2201,3/01/07,39,21.37
OTA2201,3/01/07,40,21.36
OTA2201,3/01/07,41,20.34
OTA2201,3/01/07,42,20.39
OTA2201,3/01/07,43,21.81
